Acton, Harold|Four Cautionary Tales
Adiga, Aravind|The White Tiger
Advani, Rukun|Beethoven Among The Cows
Aeschylus|The Oresteian Trilogy
Aeschylus|Prometheus Bound and Other Plays (The Suppliants/Seven Against Thebes/The Persians)
Aesop|Fables
Ainsworth, W.H.|Windsor Castle
Akhmatova, Anna|Poems Of
Alain-Fournier|Le Grand Meaulnes
Albee, Edward|Box and Quotations From Chairman Mao Tse-Tung
Albee, Edward|Who's Afraid of Virginia Woolf
Aldington, Richard|All Men Are Enemies
Ali, Ayaan Hirsi|Infidel
Allende, Isabel|Daughter Of Fortune
Allende, Isabel|Portrait In Sepia
Allsop,F.J.|9 Poets
Amado, Jorge|Shepherds Of The Night
Amis, Kingsley|The Biographer's Moustache
Amis, Kingsley|My Enemy's Enemy
Amis, Kingsley|Jake's Thing
Amis, Martin|Experience
Amis, Martin|Money
Amis, Martin|The Rachel Papers
Amis, Martin|The Second Plane
Amis, Martin|Visiting Mrs Nabokov and Other Excursions
Amis, Martin|The War Against Cliche
Anonymous|The Bride Stripped Bare
Anonymous|The Lands Where Stories End
Anouilh, Jean|The Fighting Cock
Anouilh, Jean|Five Plays (Antigone/The Lark/Poor Bitos/Leocadia/The Waltz of the Toreadors)
Anouilh, Jean|The Rehearsal
Arden, John|Serjeant Musgrave's Dance
Ariosto, Ludovico|Orlando Furioso 2
Aristophanes|The Wasps/The Poet And The Women/The Frogs
Arnold, Matthew|Poetical Works
Atwood, Margaret|Alias Grace
Atwood, Margaret|The Blind Assassin
Atwood, Margaret|Cat's Eyes
Atwood, Margaret|Conversations
Atwood, Margaret|The Handmaid's Tale
Atwood, Margaret|Lady Oracle
Atwood, Margaret|Life Before Man
Atwood, Margaret|The Robber Bride
Augustine, Saint|Confessions
Austen, Jane|Emma
Austen, Jane|Mansfield Park
Austen, Jane|Northanger Abbey
Austen, Jane|Persuasion
Austen, Jane|Pride and Prejudice
Aw, Tash|The Harmony Silk Factory
Bacon, Francis|The Advancement of Learning/Novum Organum/New Altantis
Bainton, Roland|Erasmus of Christendom
Baker, Nicholson|The Mezzanine
Balzac, Honore de|The Chouans
Balzac, Honore de|Cousin Pons
Balzac, Honore de|Droll Stories
Balzac, Honore de|Eugenie Grandet
Balzac, Honore de|Old Goriot
Banville, John|The Sea
Barker, George|The True Confession Of George Barker
Barker, Nicola|Wide Open
Barker, Pat|Another World
Barker, Pat|Double Vision
Barker, Pat|The Regeneration Trilogy (Regeneration/The Eye In The Door/The Ghost Road)
Barker, Pat|Union Street
Barnes, Djuna|Nightwood
Barnes, Djuna|Selected Works (Spillway/Nightwood/The Antiphon)
Barnes, Douglas R.|Twentieth Century Short Stories
Barnes, H.|Essays Old And New
Barnes, Julian|Arthur And George
Barnes, Julian|Before She Met Me
Barnes, Julian|Cross Channel
Barnes, Julian|A History Of The World In 10 1/2 Chapters
Barnes, Julian|Love, Etc
Barnes, Julian|The Lemon Table
Barnes, Julian|The Porcupine
Barnes, Julian|Talk It Over
Bartlett, Vernon|This Is My Life
Beauvoir, Simone de|Adieux: A Farewell To Sartre
Beauvoir, Simone de|Force Of Circumstance
Beauvoir, Simone de|The Mandarins
Beauvoir, Simone de|Memoirs Of A Dutiful Daughter
Beauvoir, Simone de|The Second Sex
Beauvoir, Simone de|She Came to Stay
Beckett, Samuel|All That Fall
Beckett, Samuel|Krapp's Last Tape and Embers
Bell, Martin|Complete Poems
Bellow, Saul|The Dean's December
Bellow, Saul|Henderson The Rain King
Bellow, Saul|Humboldt's Gift
Bellow, Saul|Mr Sammler's Planet
Bellow, Saul|Ravelstein
Bellow, Saul|Seize The Day
Berne, Suzanne|A Perfect Arrangement
Birkenhead,|Rudyard Kipling
Blackmore, R.D.|Lorna Doone
Boas, Frederick S.|Five Pre-Shakespearean Comedies
Bolger, Dermot|Father's Music: A Novel
Bolger, Dermot|The Picador Book Of Contemporary Irish Fiction
Bolger, Dermot|Temptation
Boll, Heinrich|Children Are Civilians Too
Boll, Heinrich|The Clown
Bond, Edward|The Fool/We Come To The River
Bond, Edward|Plays: Two (Lear/The Sea/Narrow Road To The Deep North/Black Mass/Passion)
Bond, Edward|Summer and Fables (Service: A Story)
Borges, Jorge Luis|The Alpha and Other Stories 1933-1969
Borges, Jorge Luis|The Book Of Imaginary Beings
Borges, Jorge Luis|Dreamtigers
Borges, Jorge Luis|Labyrinths
Borges, Jorge Luis|Selected Poems 1923-1967
Boswell, James|Life Of Samuel Johnson
